Occupation,ID Year,SOC,Place:,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
Management Occupations,2020,11,Carmel_IN,2020,04000US18,Indiana,9244,690.2992105,1.667089423,"Carmel, IN",16000US1810342,carmel-in,229620,21686,9146,1.07150667,211197,8.723135272,17.51022882
Business & Financial Operations Occupations,2020,13,Carmel_IN,2020,04000US18,Indiana,5338,656.9665136,1.83095024,"Carmel, IN",16000US1810342,carmel-in,176714,21338,4883,9.318042187,164872,7.182541608,10.11138051
Computer & Mathematical Occupations,2020,15,Carmel_IN,2020,04000US18,Indiana,3112,368.571567,1.811492665,"Carmel, IN",16000US1810342,carmel-in,175608,18009,3175,-1.984251969,175542,0.03759784,5.89483255
Architecture & Engineering Occupations,2020,17,Carmel_IN,2020,04000US18,Indiana,1453,272.7123026,1.389153132,"Carmel, IN",16000US1810342,carmel-in,176904,36444,1495,-2.809364548,168231,5.155411309,2.752310956
"Life, Physical, & Social Science Occupations",2020,19,Carmel_IN,2020,04000US18,Indiana,1820,346.7708177,3.469207391,"Carmel, IN",16000US1810342,carmel-in,224148,22409,1851,-1.674770394,211175,6.143246123,3.447492044
Community & Social Service Occupations,2020,21,Carmel_IN,2020,04000US18,Indiana,1297,316.764897,1.383605397,"Carmel, IN",16000US1810342,carmel-in,79778,31338,1040,24.71153846,79071,0.894133121,2.456811638
Legal Occupations,2020,23,Carmel_IN,2020,04000US18,Indiana,1362,358.9498572,2.259906862,"Carmel, IN",16000US1810342,carmel-in,192027,35497,1300,4.769230769,273317,-29.74202117,2.579936354
"Education Instruction, & Library Occupations",2020,25,Carmel_IN,2020,04000US18,Indiana,3206,462.4554033,0.991196051,"Carmel, IN",16000US1810342,carmel-in,94708,18285,3268,-1.897184823,92627,2.246645147,6.072889832
"Arts, Design, Entertainment, Sports, & Media Occupations",2020,27,Carmel_IN,2020,04000US18,Indiana,1511,429.7743594,1.401036693,"Carmel, IN",16000US1810342,carmel-in,86250,39845,1611,-6.207324643,96824,-10.92084607,2.862176087
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Carmel_IN,2020,04000US18,Indiana,4113,446.9317621,1.870284621,"Carmel, IN",16000US1810342,carmel-in,332707,7412,4435,-7.26042841,323660,2.795217203,7.790953175
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Carmel_IN,2020,04000US18,Indiana,758,257.2663989,0.732318596,"Carmel, IN",16000US1810342,carmel-in,83412,20748,620,22.25806452,91275,-8.61462613,1.43582361
Healthcare Support Occupations,2020,31,Carmel_IN,2020,04000US18,Indiana,547,216.5363711,0.31642264,"Carmel, IN",16000US1810342,carmel-in,37442,15711,557,-1.795332136,40843,-8.3270083,1.03614184
Food Preparation & Serving Related Occupations,2020,35,Carmel_IN,2020,04000US18,Indiana,2583,473.8027016,0.880587832,"Carmel, IN",16000US1810342,carmel-in,24611,9905,2410,7.178423237,19778,24.43624229,4.892786786
Building & Grounds Cleaning & Maintenance Occupations,2020,37,Carmel_IN,2020,04000US18,Indiana,867,285.6606378,0.446542257,"Carmel, IN",16000US1810342,carmel-in,28264,29806,749,15.75433912,41706,-32.23037453,1.642294287
Personal Care & Service Occupations,2020,39,Carmel_IN,2020,04000US18,Indiana,1137,308.3666649,0.787853513,"Carmel, IN",16000US1810342,carmel-in,31409,11290,876,29.79452055,30005,4.67922013,2.153735414
Protective Service Occupations,2020,33,Carmel_IN,2020,04000US18,Indiana,237,127.2831489,0.38294077,"Carmel, IN",16000US1810342,carmel-in,83899,258654,176,34.65909091,82963,1.128213782,0.448931656
Protective Service Occupations,2020,33,Carmel_IN,2020,04000US18,Indiana,178,104.4796631,0.348768566,"Carmel, IN",16000US1810342,carmel-in,71071,44671,137,29.9270073,55341,28.42377261,0.337172299
Sales & Related Occupations,2020,41,Carmel_IN,2020,04000US18,Indiana,5846,654.3584645,1.106946511,"Carmel, IN",16000US1810342,carmel-in,169780,41801,5942,-1.615617637,141101,20.32515716,11.07364752
Office & Administrative Support Occupations,2020,43,Carmel_IN,2020,04000US18,Indiana,4452,574.9130369,0.744700628,"Carmel, IN",16000US1810342,carmel-in,84453,11325,4421,0.701198824,81652,3.430411992,8.433095924
Construction & Extraction Occupations,2020,47,Carmel_IN,2020,04000US18,Indiana,913,269.4587167,0.343927093,"Carmel, IN",16000US1810342,carmel-in,30308,7131,1099,-16.9244768,32149,-5.726461165,1.729428701
"Installation, Maintenance, & Repair Occupations",2020,49,Carmel_IN,2020,04000US18,Indiana,418,158.6726189,0.258206222,"Carmel, IN",16000US1810342,carmel-in,48750,11582,419,-0.238663484,52361,-6.896354157,0.791786634
Production Occupations,2020,51,Carmel_IN,2020,04000US18,Indiana,712,177.5077463,0.241585123,"Carmel, IN",16000US1810342,carmel-in,66960,20328,835,-14.73053892,65587,2.093402656,1.348689195
Transportation & Material Moving Occupations,2020,53,Carmel_IN,2020,04000US18,Indiana,953,281.5173174,0.474293435,"Carmel, IN",16000US1810342,carmel-in,58232,27418,925,3.027027027,59867,-2.731053836,1.805197757
