Occupation,ID Year,SOC,Place:,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
Management Occupations,2020,11,Castle Rock_CO,2020,04000US08,Colorado,5856,650.1645945,1.653459099,"Castle Rock, CO",16000US0812415,castle-rock-co,194946,15133,5235,11.86246418,185110,5.313597321,17.36706308
Business & Financial Operations Occupations,2020,13,Castle Rock_CO,2020,04000US08,Colorado,3089,414.584129,1.658858374,"Castle Rock, CO",16000US0812415,castle-rock-co,158497,21564,2725,13.35779817,154453,2.618272225,9.161007147
Computer & Mathematical Occupations,2020,15,Castle Rock_CO,2020,04000US08,Colorado,2015,331.6157415,1.836392334,"Castle Rock, CO",16000US0812415,castle-rock-co,181277,46533,1975,2.025316456,175713,3.166527235,5.975859308
Architecture & Engineering Occupations,2020,17,Castle Rock_CO,2020,04000US08,Colorado,688,188.0983785,1.029831983,"Castle Rock, CO",16000US0812415,castle-rock-co,203980,64623,819,-15.995116,189759,7.494242697,2.040392657
"Life, Physical, & Social Science Occupations",2020,19,Castle Rock_CO,2020,04000US08,Colorado,128,69.29646456,0.381999042,"Castle Rock, CO",16000US0812415,castle-rock-co,91895,46015,163,-21.47239264,95989,-4.26507204,0.379607936
Community & Social Service Occupations,2020,21,Castle Rock_CO,2020,04000US08,Colorado,396,165.4236984,0.661394968,"Castle Rock, CO",16000US0812415,castle-rock-co,102978,20263,430,-7.906976744,119934,-14.13777578,1.174412053
Legal Occupations,2020,23,Castle Rock_CO,2020,04000US08,Colorado,342,111.2879149,0.888449952,"Castle Rock, CO",16000US0812415,castle-rock-co,158846,176362,311,9.967845659,227114,-30.05891314,1.014264954
"Education Instruction, & Library Occupations",2020,25,Castle Rock_CO,2020,04000US08,Colorado,2156,405.6426999,1.043609997,"Castle Rock, CO",16000US0812415,castle-rock-co,66103,22907,1911,12.82051282,77567,-14.77948096,6.394021175
"Arts, Design, Entertainment, Sports, & Media Occupations",2020,27,Castle Rock_CO,2020,04000US08,Colorado,808,228.6744411,1.172977914,"Castle Rock, CO",16000US0812415,castle-rock-co,133439,71996,680,18.82352941,80355,66.06185054,2.396275097
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Castle Rock_CO,2020,04000US08,Colorado,1220,222.6971037,0.868564856,"Castle Rock, CO",16000US0812415,castle-rock-co,152847,96397,1315,-7.224334601,200244,-23.66962306,3.618138142
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Castle Rock_CO,2020,04000US08,Colorado,477,139.9785698,0.721510516,"Castle Rock, CO",16000US0812415,castle-rock-co,109063,82858,542,-11.99261993,108617,0.410617123,1.4146327
Healthcare Support Occupations,2020,31,Castle Rock_CO,2020,04000US08,Colorado,765,270.2961339,0.692843406,"Castle Rock, CO",16000US0812415,castle-rock-co,55475,36666,702,8.974358974,38662,43.487145,2.268750556
Food Preparation & Serving Related Occupations,2020,35,Castle Rock_CO,2020,04000US08,Colorado,1751,301.6637201,0.934604459,"Castle Rock, CO",16000US0812415,castle-rock-co,28319,9112,1936,-9.555785124,31783,-10.89890822,5.192917939
Building & Grounds Cleaning & Maintenance Occupations,2020,37,Castle Rock_CO,2020,04000US08,Colorado,689,217.7888886,0.555592171,"Castle Rock, CO",16000US0812415,castle-rock-co,31528,49308,729,-5.48696845,48564,-35.07948274,2.043358344
Personal Care & Service Occupations,2020,39,Castle Rock_CO,2020,04000US08,Colorado,1087,293.2047066,1.1792557,"Castle Rock, CO",16000US0812415,castle-rock-co,58549,17270,1116,-2.598566308,45087,29.85783042,3.223701771
Protective Service Occupations,2020,33,Castle Rock_CO,2020,04000US08,Colorado,301,91.92388155,0.761453146,"Castle Rock, CO",16000US0812415,castle-rock-co,85435,17856,402,-25.12437811,111033,-23.05440725,0.892671787
Protective Service Occupations,2020,33,Castle Rock_CO,2020,04000US08,Colorado,534,186.6869037,1.638143788,"Castle Rock, CO",16000US0812415,castle-rock-co,84188,22236,536,-0.373134328,154862,-45.63676047,1.583676859
Sales & Related Occupations,2020,41,Castle Rock_CO,2020,04000US08,Colorado,4464,514.6746545,1.32338266,"Castle Rock, CO",16000US0812415,castle-rock-co,93648,15296,4322,3.285515965,91574,2.264834997,13.23882677
Office & Administrative Support Occupations,2020,43,Castle Rock_CO,2020,04000US08,Colorado,2956,356.2653505,0.774148762,"Castle Rock, CO",16000US0812415,castle-rock-co,82575,11756,3394,-12.90512669,86117,-4.113009046,8.766570776
Construction & Extraction Occupations,2020,47,Castle Rock_CO,2020,04000US08,Colorado,1062,273.4117774,0.626344916,"Castle Rock, CO",16000US0812415,castle-rock-co,53993,12441,1288,-17.54658385,55638,-2.956612387,3.149559595
"Installation, Maintenance, & Repair Occupations",2020,49,Castle Rock_CO,2020,04000US08,Colorado,553,153.3264491,0.534821652,"Castle Rock, CO",16000US0812415,castle-rock-co,56994,15743,655,-15.57251908,62946,-9.455723954,1.640024912
Production Occupations,2020,51,Castle Rock_CO,2020,04000US08,Colorado,802,227.8003512,0.42604747,"Castle Rock, CO",16000US0812415,castle-rock-co,69289,25621,859,-6.635622817,64363,7.6534655,2.378480975
Transportation & Material Moving Occupations,2020,53,Castle Rock_CO,2020,04000US08,Colorado,813,226.1526033,0.633487701,"Castle Rock, CO",16000US0812415,castle-rock-co,77721,44637,910,-10.65934066,78499,-0.991095428,2.411103532
