Occupation,ID Year,SOC,Place:,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
Management Occupations,2020,11,"Columbia, MD",2020,04000US24,Maryland,7998,812.4339973,1.326404716,"Columbia, MD",16000US2419125,columbia-md,187486,10643,7458,7.240547064,188656,-0.620176406,13.93185619
Business & Financial Operations Occupations,2020,13,"Columbia, MD",2020,04000US24,Maryland,4831,543.948527,1.523809609,"Columbia, MD",16000US2419125,columbia-md,161495,20008,4839,-0.165323414,161682,-0.115659133,8.415203456
Computer & Mathematical Occupations,2020,15,"Columbia, MD",2020,04000US24,Maryland,5983,570.7889277,3.20266632,"Columbia, MD",16000US2419125,columbia-md,209842,14214,6093,-1.805350402,205234,2.245242016,10.42189242
Architecture & Engineering Occupations,2020,17,"Columbia, MD",2020,04000US24,Maryland,2101,360.4400089,1.847167415,"Columbia, MD",16000US2419125,columbia-md,201667,47472,2207,-4.802899864,180469,11.74606165,3.659768673
"Life, Physical, & Social Science Occupations",2020,19,"Columbia, MD",2020,04000US24,Maryland,1824,366.3836787,3.197270696,"Columbia, MD",16000US2419125,columbia-md,167382,51416,1610,13.29192547,177545,-5.724182602,3.177257525
Community & Social Service Occupations,2020,21,"Columbia, MD",2020,04000US24,Maryland,1137,304.4536089,1.115394334,"Columbia, MD",16000US2419125,columbia-md,122071,33088,991,14.73259334,109190,11.79686785,1.980560201
Legal Occupations,2020,23,"Columbia, MD",2020,04000US24,Maryland,1143,239.6768658,1.744035665,"Columbia, MD",16000US2419125,columbia-md,232644,50572,1110,2.972972973,223386,4.144395799,1.991011706
"Education Instruction, & Library Occupations",2020,25,"Columbia, MD",2020,04000US24,Maryland,4990,598.9407316,1.41870562,"Columbia, MD",16000US2419125,columbia-md,115268,16663,4758,4.875998319,117467,-1.872015119,8.692168339
"Arts, Design, Entertainment, Sports, & Media Occupations",2020,27,"Columbia, MD",2020,04000US24,Maryland,1456,271.4479692,1.241486835,"Columbia, MD",16000US2419125,columbia-md,115517,19972,1665,-12.55255255,116110,-0.510722591,2.536231884
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,"Columbia, MD",2020,04000US24,Maryland,3459,475.4135042,1.446422782,"Columbia, MD",16000US2419125,columbia-md,203104,28554,3174,8.979206049,178372,13.86540488,6.025292642
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,"Columbia, MD",2020,04000US24,Maryland,1044,308.6292274,0.927528054,"Columbia, MD",16000US2419125,columbia-md,76077,17565,1059,-1.416430595,82111,-7.348589105,1.818561873
Healthcare Support Occupations,2020,31,"Columbia, MD",2020,04000US24,Maryland,1145,275.4850268,0.609089915,"Columbia, MD",16000US2419125,columbia-md,55602,19705,1261,-9.199048374,42761,30.02969996,1.994495541
Food Preparation & Serving Related Occupations,2020,35,"Columbia, MD",2020,04000US24,Maryland,2146,490.209139,0.672780956,"Columbia, MD",16000US2419125,columbia-md,44540,26923,1872,14.63675214,43396,2.636187667,3.738154961
Building & Grounds Cleaning & Maintenance Occupations,2020,37,"Columbia, MD",2020,04000US24,Maryland,1198,316.8627463,0.56740869,"Columbia, MD",16000US2419125,columbia-md,51202,18392,1317,-9.035687168,63195,-18.97776723,2.086817168
Personal Care & Service Occupations,2020,39,"Columbia, MD",2020,04000US24,Maryland,1320,312.4243909,0.841113572,"Columbia, MD",16000US2419125,columbia-md,41323,23148,1437,-8.141962422,39870,3.644344118,2.299331104
Protective Service Occupations,2020,33,"Columbia, MD",2020,04000US24,Maryland,621,141.509717,0.922721328,"Columbia, MD",16000US2419125,columbia-md,79224,49293,672,-7.589285714,63503,24.75631073,1.081730769
Protective Service Occupations,2020,33,"Columbia, MD",2020,04000US24,Maryland,440,150.8674915,0.792803773,"Columbia, MD",16000US2419125,columbia-md,156927,28778,541,-18.66913124,153898,1.968186721,0.766443701
Sales & Related Occupations,2020,41,"Columbia, MD",2020,04000US24,Maryland,4325,476.5962652,0.753094776,"Columbia, MD",16000US2419125,columbia-md,65677,22733,4270,1.288056206,75600,-13.12566138,7.5337932
Office & Administrative Support Occupations,2020,43,"Columbia, MD",2020,04000US24,Maryland,5021,543.4344487,0.772347036,"Columbia, MD",16000US2419125,columbia-md,91370,21338,5240,-4.179389313,80428,13.60471478,8.746167781
"Farming, Fishing, & Forestry Occupations",2020,45,"Columbia, MD",2020,04000US24,Maryland,22,40.36087214,0.059663753,"Columbia, MD",16000US2419125,columbia-md,21250,28461,20,10,26250,-19.04761905,0.038322185
Construction & Extraction Occupations,2020,47,"Columbia, MD",2020,04000US24,Maryland,1051,327.5362575,0.364077655,"Columbia, MD",16000US2419125,columbia-md,71239,77507,840,25.11904762,75117,-5.16261299,1.830755295
"Installation, Maintenance, & Repair Occupations",2020,49,"Columbia, MD",2020,04000US24,Maryland,688,181.8928256,0.390818,"Columbia, MD",16000US2419125,columbia-md,104076,77219,891,-22.78338945,91852,13.30836563,1.198439242
Production Occupations,2020,51,"Columbia, MD",2020,04000US24,Maryland,1141,283.0989226,0.356017656,"Columbia, MD",16000US2419125,columbia-md,64176,29181,1040,9.711538462,70968,-9.570510653,1.987527871
Transportation & Material Moving Occupations,2020,53,"Columbia, MD",2020,04000US24,Maryland,1161,319.5559419,0.531351769,"Columbia, MD",16000US2419125,columbia-md,71666,50392,1342,-13.48733234,92926,-22.87841939,2.022366221
