Occupation,ID Year,SOC,Place:,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
Management Occupations,2020,11,Folsom_CA,2020,04000US06,California,5695,608.276253,1.46533055,"Folsom, CA",16000US0624638,folsom-ca,218520,34129,5341,6.62797229,210186,3.965059519,15.39105994
Business & Financial Operations Occupations,2020,13,Folsom_CA,2020,04000US06,California,3253,406.7542255,1.59193361,"Folsom, CA",16000US0624638,folsom-ca,179081,9324,3162,2.877925364,171384,4.491084349,8.79141668
Computer & Mathematical Occupations,2020,15,Folsom_CA,2020,04000US06,California,3266,444.5694546,2.712414694,"Folsom, CA",16000US0624638,folsom-ca,191500,40121,3192,2.318295739,190315,0.622651919,8.826549916
Architecture & Engineering Occupations,2020,17,Folsom_CA,2020,04000US06,California,2364,324.274575,3.224592925,"Folsom, CA",16000US0624638,folsom-ca,224789,25733,2666,-11.32783196,217188,3.49973295,6.388843846
"Life, Physical, & Social Science Occupations",2020,19,Folsom_CA,2020,04000US06,California,504,176.4001134,1.370668171,"Folsom, CA",16000US0624638,folsom-ca,200167,85526,406,24.13793103,181667,10.18346755,1.362088536
Community & Social Service Occupations,2020,21,Folsom_CA,2020,04000US06,California,414,136.0330842,0.630108777,"Folsom, CA",16000US0624638,folsom-ca,118970,55980,446,-7.174887892,117433,1.308831419,1.11885844
Legal Occupations,2020,23,Folsom_CA,2020,04000US06,California,576,272.6939677,1.363574381,"Folsom, CA",16000US0624638,folsom-ca,232819,49681,502,14.74103586,250729,-7.143170515,1.556672612
"Education Instruction, & Library Occupations",2020,25,Folsom_CA,2020,04000US06,California,2331,328.8920796,1.028208607,"Folsom, CA",16000US0624638,folsom-ca,122546,22061,2209,5.522861023,129725,-5.534014261,6.299659478
"Arts, Design, Entertainment, Sports, & Media Occupations",2020,27,Folsom_CA,2020,04000US06,California,1002,271.5916052,1.325548685,"Folsom, CA",16000US0624638,folsom-ca,108302,18513,969,3.405572755,104446,3.691859908,2.707961732
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Folsom_CA,2020,04000US06,California,2302,335.6784175,1.493472496,"Folsom, CA",16000US0624638,folsom-ca,232179,75485,2457,-6.308506309,245188,-5.305724587,6.221285336
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Folsom_CA,2020,04000US06,California,613,173.9540169,0.844956299,"Folsom, CA",16000US0624638,folsom-ca,125438,54051,688,-10.90116279,125805,-0.291721315,1.656667207
Healthcare Support Occupations,2020,31,Folsom_CA,2020,04000US06,California,525,174.642492,0.433293769,"Folsom, CA",16000US0624638,folsom-ca,47750,60552,651,-19.35483871,43067,10.87375485,1.418842225
Food Preparation & Serving Related Occupations,2020,35,Folsom_CA,2020,04000US06,California,1295,319.7889929,0.629884554,"Folsom, CA",16000US0624638,folsom-ca,36738,8418,1202,7.737104825,35699,2.910445671,3.499810821
Building & Grounds Cleaning & Maintenance Occupations,2020,37,Folsom_CA,2020,04000US06,California,444,185.1512895,0.326264148,"Folsom, CA",16000US0624638,folsom-ca,41598,19935,513,-13.4502924,39648,4.918280872,1.199935139
Personal Care & Service Occupations,2020,39,Folsom_CA,2020,04000US06,California,874,232.8626204,0.864050966,"Folsom, CA",16000US0624638,folsom-ca,63098,28386,885,-1.242937853,48681,29.6152503,2.362034485
Protective Service Occupations,2020,33,Folsom_CA,2020,04000US06,California,420,152.5549081,0.968223161,"Folsom, CA",16000US0624638,folsom-ca,139710,93286,435,-3.448275862,141024,-0.931756297,1.13507378
Protective Service Occupations,2020,33,Folsom_CA,2020,04000US06,California,613,227.3433527,1.713644472,"Folsom, CA",16000US0624638,folsom-ca,207292,63757,579,5.872193437,204800,1.216796875,1.656667207
Sales & Related Occupations,2020,41,Folsom_CA,2020,04000US06,California,4326,552.3703468,1.168684426,"Folsom, CA",16000US0624638,folsom-ca,108614,25375,4221,2.487562189,102672,5.787361695,11.69125993
Office & Administrative Support Occupations,2020,43,Folsom_CA,2020,04000US06,California,3114,406.4443381,0.743169862,"Folsom, CA",16000US0624638,folsom-ca,82796,44070,3269,-4.741511165,85070,-2.673092747,8.41576131
Construction & Extraction Occupations,2020,47,Folsom_CA,2020,04000US06,California,531,176.1135997,0.285386252,"Folsom, CA",16000US0624638,folsom-ca,78757,21714,687,-22.70742358,62873,25.26362668,1.435057564
"Installation, Maintenance, & Repair Occupations",2020,49,Folsom_CA,2020,04000US06,California,634,174.5451231,0.558756509,"Folsom, CA",16000US0624638,folsom-ca,61481,9003,518,22.39382239,59231,3.798686499,1.713420896
Production Occupations,2020,51,Folsom_CA,2020,04000US06,California,516,177.1581215,0.249794465,"Folsom, CA",16000US0624638,folsom-ca,135037,44370,604,-14.56953642,132331,2.044872328,1.394519215
Transportation & Material Moving Occupations,2020,53,Folsom_CA,2020,04000US06,California,679,244.3808503,0.482133051,"Folsom, CA",16000US0624638,folsom-ca,37489,13471,477,42.34800839,47880,-21.7021721,1.835035944
