Occupation,ID Year,SOC,Place:,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
Management Occupations,2020,11,Kendall_FL,2020,04000US12,Florida,5699,598.2081578,1.347127236,"Kendall, FL",16000US1236100,kendall-fl,154103,11549,5863,-2.797202797,140489,9.690438397,14.14951461
Business & Financial Operations Occupations,2020,13,Kendall_FL,2020,04000US12,Florida,3294,445.4862512,1.480923304,"Kendall, FL",16000US1236100,kendall-fl,117031,17927,3082,6.878650227,118429,-1.180454112,8.178364824
Computer & Mathematical Occupations,2020,15,Kendall_FL,2020,04000US12,Florida,1052,258.4898451,0.80264542,"Kendall, FL",16000US1236100,kendall-fl,146710,41165,1063,-1.03480715,135402,8.351427601,2.611912506
Architecture & Engineering Occupations,2020,17,Kendall_FL,2020,04000US12,Florida,823,213.8059868,1.031324521,"Kendall, FL",16000US1236100,kendall-fl,119305,59777,957,-14.00208986,119888,-0.486287201,2.043349803
"Life, Physical, & Social Science Occupations",2020,19,Kendall_FL,2020,04000US12,Florida,225,84.3860178,0.562150231,"Kendall, FL",16000US1236100,kendall-fl,122929,85516,256,-12.109375,151111,-18.64986665,0.558631477
Community & Social Service Occupations,2020,21,Kendall_FL,2020,04000US12,Florida,615,187.2164523,0.859920668,"Kendall, FL",16000US1236100,kendall-fl,97671,50689,695,-11.51079137,80437,21.42546341,1.526926037
Legal Occupations,2020,23,Kendall_FL,2020,04000US12,Florida,1160,238.5309204,2.522797679,"Kendall, FL",16000US1236100,kendall-fl,223075,113337,1243,-6.677393403,176459,26.41746808,2.880055615
"Education Instruction, & Library Occupations",2020,25,Kendall_FL,2020,04000US12,Florida,2629,395.8042445,1.065363053,"Kendall, FL",16000US1236100,kendall-fl,88554,23000,2838,-7.364341085,104497,-15.25689733,6.527298458
"Arts, Design, Entertainment, Sports, & Media Occupations",2020,27,Kendall_FL,2020,04000US12,Florida,1259,351.4342044,1.530106907,"Kendall, FL",16000US1236100,kendall-fl,61205,14071,1101,14.35059037,54377,12.55677952,3.125853465
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Kendall_FL,2020,04000US12,Florida,2015,326.620575,1.200977978,"Kendall, FL",16000US1236100,kendall-fl,169028,48458,2253,-10.56369285,157578,7.26624275,5.002855228
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Kendall_FL,2020,04000US12,Florida,738,268.8828741,0.934540698,"Kendall, FL",16000US1236100,kendall-fl,103586,3750,623,18.45906902,92987,11.39836751,1.832311245
Healthcare Support Occupations,2020,31,Kendall_FL,2020,04000US12,Florida,537,153.0751449,0.407160379,"Kendall, FL",16000US1236100,kendall-fl,45835,9889,690,-22.17391304,52320,-12.39487768,1.333267125
Food Preparation & Serving Related Occupations,2020,35,Kendall_FL,2020,04000US12,Florida,2098,473.8121991,0.937485929,"Kendall, FL",16000US1236100,kendall-fl,44970,12781,1824,15.02192982,44899,0.158132698,5.208928172
Building & Grounds Cleaning & Maintenance Occupations,2020,37,Kendall_FL,2020,04000US12,Florida,1326,349.6569748,0.895154482,"Kendall, FL",16000US1236100,kendall-fl,44987,12089,1455,-8.865979381,39810,13.00427028,3.292201505
Personal Care & Service Occupations,2020,39,Kendall_FL,2020,04000US12,Florida,922,352.455671,0.837388385,"Kendall, FL",16000US1236100,kendall-fl,36288,27714,948,-2.742616034,37435,-3.063977561,2.289147653
Protective Service Occupations,2020,33,Kendall_FL,2020,04000US12,Florida,349,138.4629914,0.739128056,"Kendall, FL",16000US1236100,kendall-fl,33173,17626,394,-11.4213198,33958,-2.311679133,0.866499491
Protective Service Occupations,2020,33,Kendall_FL,2020,04000US12,Florida,253,114.1271221,0.64975384,"Kendall, FL",16000US1236100,kendall-fl,65000,33286,228,10.96491228,76750,-15.30944625,0.628150061
Sales & Related Occupations,2020,41,Kendall_FL,2020,04000US12,Florida,5067,717.3632274,1.257562937,"Kendall, FL",16000US1236100,kendall-fl,76717,17417,5278,-3.997726412,82964,-7.529771949,12.58038086
Office & Administrative Support Occupations,2020,43,Kendall_FL,2020,04000US12,Florida,5209,606.5311204,1.142067893,"Kendall, FL",16000US1236100,kendall-fl,68819,9798,5261,-0.988405246,63637,8.143061427,12.93293939
Construction & Extraction Occupations,2020,47,Kendall_FL,2020,04000US12,Florida,864,262.7184805,0.426599511,"Kendall, FL",16000US1236100,kendall-fl,26605,3845,690,25.2173913,28963,-8.141421814,2.145144872
"Installation, Maintenance, & Repair Occupations",2020,49,Kendall_FL,2020,04000US12,Florida,1179,531.9041267,0.954586365,"Kendall, FL",16000US1236100,kendall-fl,28587,20276,798,47.7443609,36845,-22.41281042,2.92722894
Production Occupations,2020,51,Kendall_FL,2020,04000US12,Florida,589,176.9180601,0.261948845,"Kendall, FL",16000US1236100,kendall-fl,71087,33407,607,-2.965403624,70339,1.063421431,1.462373067
Transportation & Material Moving Occupations,2020,53,Kendall_FL,2020,04000US12,Florida,1524,544.2811773,0.994146025,"Kendall, FL",16000US1236100,kendall-fl,38911,21768,1042,46.2571977,45679,-14.81643644,3.783797204
