Occupation,ID Year,SOC,Place:,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
Management Occupations,2020,11,Naperville_IL,2020,04000US17,Illinois,14247,838.4748058,1.776799173,"Naperville, IL",16000US1751622,naperville-il,227390,15497,13115,8.631338162,221387,2.711541328,18.66256222
Business & Financial Operations Occupations,2020,13,Naperville_IL,2020,04000US17,Illinois,7869,643.3863536,1.866523565,"Naperville, IL",16000US1751622,naperville-il,174530,12414,8509,-7.521447879,175706,-0.669299853,10.30783338
Computer & Mathematical Occupations,2020,15,Naperville_IL,2020,04000US17,Illinois,6648,568.594759,2.676110007,"Naperville, IL",16000US1751622,naperville-il,206839,14820,6056,9.775429326,188827,9.538890095,8.708409746
Architecture & Engineering Occupations,2020,17,Naperville_IL,2020,04000US17,Illinois,2559,377.3340695,1.691884664,"Naperville, IL",16000US1751622,naperville-il,210151,12722,2511,1.911589008,204361,2.833221603,3.352108986
"Life, Physical, & Social Science Occupations",2020,19,Naperville_IL,2020,04000US17,Illinois,1178,251.0318705,1.552816457,"Naperville, IL",16000US1751622,naperville-il,143272,49551,1128,4.432624113,170260,-15.85105133,1.543096673
Community & Social Service Occupations,2020,21,Naperville_IL,2020,04000US17,Illinois,1071,238.9079321,0.790092068,"Naperville, IL",16000US1751622,naperville-il,85139,22541,868,23.38709677,81288,4.737476626,1.402934242
Legal Occupations,2020,23,Naperville_IL,2020,04000US17,Illinois,1318,289.2075379,1.512323857,"Naperville, IL",16000US1751622,naperville-il,215464,153645,1298,1.540832049,221688,-2.807549349,1.72648677
"Education Instruction, & Library Occupations",2020,25,Naperville_IL,2020,04000US17,Illinois,5133,446.4706037,1.097446276,"Naperville, IL",16000US1751622,naperville-il,117403,23954,5492,-6.536780772,96868,21.19895115,6.723866911
"Arts, Design, Entertainment, Sports, & Media Occupations",2020,27,Naperville_IL,2020,04000US17,Illinois,1634,246.1097316,1.047738873,"Naperville, IL",16000US1751622,naperville-il,62076,46861,1672,-2.272727273,53313,16.43689156,2.140424417
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Naperville_IL,2020,04000US17,Illinois,4126,441.6163493,1.297460594,"Naperville, IL",16000US1751622,naperville-il,236249,82622,4082,1.077902989,234157,0.893417664,5.404768143
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Naperville_IL,2020,04000US17,Illinois,1100,216.6148656,0.734919045,"Naperville, IL",16000US1751622,naperville-il,86879,17496,1106,-0.542495479,91981,-5.546797708,1.44092219
Healthcare Support Occupations,2020,31,Naperville_IL,2020,04000US17,Illinois,964,234.7977853,0.385632136,"Naperville, IL",16000US1751622,naperville-il,36048,18986,955,0.942408377,46860,-23.07298335,1.26277181
Food Preparation & Serving Related Occupations,2020,35,Naperville_IL,2020,04000US17,Illinois,3408,565,0.803459184,"Naperville, IL",16000US1751622,naperville-il,24964,14634,3330,2.342342342,22726,9.847751474,4.464238931
Building & Grounds Cleaning & Maintenance Occupations,2020,37,Naperville_IL,2020,04000US17,Illinois,572,166.412139,0.20373022,"Naperville, IL",16000US1751622,naperville-il,24154,28731,622,-8.038585209,43140,-44.01019935,0.749279539
Personal Care & Service Occupations,2020,39,Naperville_IL,2020,04000US17,Illinois,1967,325.5226567,0.942552025,"Naperville, IL",16000US1751622,naperville-il,15138,10501,2161,-8.977325312,23809,-36.41900122,2.576630862
Protective Service Occupations,2020,33,Naperville_IL,2020,04000US17,Illinois,487,152.0296024,0.544161963,"Naperville, IL",16000US1751622,naperville-il,27318,28580,448,8.705357143,25186,8.465020249,0.637935551
Protective Service Occupations,2020,33,Naperville_IL,2020,04000US17,Illinois,339,117.6307783,0.459338652,"Naperville, IL",16000US1751622,naperville-il,134560,69517,360,-5.833333333,162375,-17.13010008,0.44406602
Sales & Related Occupations,2020,41,Naperville_IL,2020,04000US17,Illinois,9799,727.8743023,1.283114882,"Naperville, IL",16000US1751622,naperville-il,119354,15815,9683,1.197975834,123252,-3.162626164,12.83599686
Office & Administrative Support Occupations,2020,43,Naperville_IL,2020,04000US17,Illinois,6151,527.6153902,0.711521867,"Naperville, IL",16000US1751622,naperville-il,81043,17581,6575,-6.448669202,77866,4.080086302,8.057374902
Construction & Extraction Occupations,2020,47,Naperville_IL,2020,04000US17,Illinois,867,249.0180716,0.225855498,"Naperville, IL",16000US1751622,naperville-il,118702,81913,1114,-22.17235189,113082,4.969844891,1.135708672
"Installation, Maintenance, & Repair Occupations",2020,49,Naperville_IL,2020,04000US17,Illinois,623,145,0.266130364,"Naperville, IL",16000US1751622,naperville-il,81711,20478,714,-12.74509804,64500,26.68372093,0.816085931
Production Occupations,2020,51,Naperville_IL,2020,04000US17,Illinois,1446,300.4663043,0.339292646,"Naperville, IL",16000US1751622,naperville-il,74165,19368,1622,-10.85080148,74477,-0.418921278,1.894157715
Transportation & Material Moving Occupations,2020,53,Naperville_IL,2020,04000US17,Illinois,1668,347.5082733,0.574071807,"Naperville, IL",16000US1751622,naperville-il,65675,25925,1698,-1.766784452,72344,-9.218456265,2.184962012
