Occupation,ID Year,SOC,Place:,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
Management Occupations,2020,11,"Plymouth, MA",2020,04000US25,Massachusetts,304,122.4948979,0.712000188,"Plymouth, MA",16000US2554275,plymouth-ma,131419,53037,246,23.57723577,113834,15.44793296,7.478474785
Business & Financial Operations Occupations,2020,13,"Plymouth, MA",2020,04000US25,Massachusetts,147,74,0.654821413,"Plymouth, MA",16000US2554275,plymouth-ma,178672,107060,209,-29.66507177,173469,2.999383175,3.616236162
Computer & Mathematical Occupations,2020,15,"Plymouth, MA",2020,04000US25,Massachusetts,68,46.61544808,0.514059595,"Plymouth, MA",16000US2554275,plymouth-ma,36375,67338,129,-47.28682171,167318,-78.25996008,1.672816728
Architecture & Engineering Occupations,2020,17,"Plymouth, MA",2020,04000US25,Massachusetts,129,68.44705983,1.601702243,"Plymouth, MA",16000US2554275,plymouth-ma,99438,4397,183,-29.50819672,90625,9.724689655,3.173431734
"Life, Physical, & Social Science Occupations",2020,19,"Plymouth, MA",2020,04000US25,Massachusetts,38,36.40054945,0.940697602,"Plymouth, MA",16000US2554275,plymouth-ma,69792,63497,70,-45.71428571,128200,-45.5600624,0.934809348
Community & Social Service Occupations,2020,21,"Plymouth, MA",2020,04000US25,Massachusetts,64,53.15072906,0.8866655,"Plymouth, MA",16000US2554275,plymouth-ma,43313,22909,71,-9.85915493,43958,-1.467309705,1.574415744
"Education Instruction, & Library Occupations",2020,25,"Plymouth, MA",2020,04000US25,Massachusetts,369,205.7790077,1.481596613,"Plymouth, MA",16000US2554275,plymouth-ma,62473,65349,209,76.55502392,86164,-27.49524163,9.077490775
"Arts, Design, Entertainment, Sports, & Media Occupations",2020,27,"Plymouth, MA",2020,04000US25,Massachusetts,43,45.18849411,0.517798832,"Plymouth, MA",16000US2554275,plymouth-ma,81250,40559,49,-12.24489796,81063,0.230684776,1.057810578
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,"Plymouth, MA",2020,04000US25,Massachusetts,120,69.0651866,0.708659812,"Plymouth, MA",16000US2554275,plymouth-ma,56875,80410,93,29.03225806,56250,1.111111111,2.95202952
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,"Plymouth, MA",2020,04000US25,Massachusetts,188,97.51410154,2.358827985,"Plymouth, MA",16000US2554275,plymouth-ma,41875,15862,179,5.027932961,40955,2.246367965,4.624846248
Food Preparation & Serving Related Occupations,2020,35,"Plymouth, MA",2020,04000US25,Massachusetts,502,178.8686669,2.222591025,"Plymouth, MA",16000US2554275,plymouth-ma,75060,84973,616,-18.50649351,49732,50.92897933,12.34932349
Building & Grounds Cleaning & Maintenance Occupations,2020,37,"Plymouth, MA",2020,04000US25,Massachusetts,126,107.01869,0.842794275,"Plymouth, MA",16000US2554275,plymouth-ma,62229,86623,228,-44.73684211,27076,129.8308465,3.099630996
Personal Care & Service Occupations,2020,39,"Plymouth, MA",2020,04000US25,Massachusetts,213,201.4000993,1.916779606,"Plymouth, MA",16000US2554275,plymouth-ma,35865,36122,104,104.8076923,17630,103.4316506,5.239852399
Protective Service Occupations,2020,33,"Plymouth, MA",2020,04000US25,Massachusetts,200,233.7733946,5.089262997,"Plymouth, MA",16000US2554275,plymouth-ma,73633,783,40,400,63676,15.63697468,4.9200492
Sales & Related Occupations,2020,41,"Plymouth, MA",2020,04000US25,Massachusetts,563,209.8809186,1.384470751,"Plymouth, MA",16000US2554275,plymouth-ma,65792,45201,481,17.04781705,113754,-42.16291295,13.8499385
Office & Administrative Support Occupations,2020,43,"Plymouth, MA",2020,04000US25,Massachusetts,267,96.74709298,0.580023235,"Plymouth, MA",16000US2554275,plymouth-ma,109457,122585,407,-34.3980344,89340,22.51734945,6.568265683
Construction & Extraction Occupations,2020,47,"Plymouth, MA",2020,04000US25,Massachusetts,183,105.7213318,0.895270483,"Plymouth, MA",16000US2554275,plymouth-ma,46354,21968,226,-19.02654867,45833,1.13673554,4.501845018
"Installation, Maintenance, & Repair Occupations",2020,49,"Plymouth, MA",2020,04000US25,Massachusetts,94,81.25269226,0.754094616,"Plymouth, MA",16000US2554275,plymouth-ma,88362,105901,109,-13.76146789,53750,64.3944186,2.312423124
Production Occupations,2020,51,"Plymouth, MA",2020,04000US25,Massachusetts,166,126.0198397,0.731485711,"Plymouth, MA",16000US2554275,plymouth-ma,55962,14467,47,253.1914894,,NaN,4.083640836
