Occupation,ID Year,SOC,Place:,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
Management Occupations,2019,11,Westport_NY,2019,04000US09,Connecticut,2986,282.0638226,2.317397032,"Westport, CT",16000US0983570,westport-ct,354918,31208,2639,13.14892005,351834,0.876549737,23.6627308
Business & Financial Operations Occupations,2019,13,Westport_NY,2019,04000US09,Connecticut,1445,222.6072775,2.137143938,"Westport, CT",16000US0983570,westport-ct,356168,98399,1525,-5.245901639,326597,9.054277902,11.45098661
Computer & Mathematical Occupations,2019,15,Westport_NY,2019,04000US09,Connecticut,448,119.6703806,1.135477845,"Westport, CT",16000US0983570,westport-ct,259231,117872,397,12.84634761,231875,11.79773585,3.550202076
Architecture & Engineering Occupations,2019,17,Westport_NY,2019,04000US09,Connecticut,137,61.29437168,0.570517978,"Westport, CT",16000US0983570,westport-ct,125469,24902,125,9.6,346153,-63.7533114,1.085664474
"Life, Physical, & Social Science Occupations",2019,19,Westport_NY,2019,04000US09,Connecticut,142,72.44998275,1.176797537,"Westport, CT",16000US0983570,westport-ct,40107,16273,143,-0.699300699,119542,-66.44944873,1.125287265
Community & Social Service Occupations,2019,21,Westport_NY,2019,04000US09,Connecticut,196,70.21395873,0.887927101,"Westport, CT",16000US0983570,westport-ct,40625,22085,230,-14.7826087,271361,-85.02916779,1.553213408
Legal Occupations,2019,23,Westport_NY,2019,04000US09,Connecticut,824,205.8275978,5.887319091,"Westport, CT",16000US0983570,westport-ct,452657,58541,790,4.303797468,416329,8.725791381,6.529835962
"Education Instruction, & Library Occupations",2019,25,Westport_NY,2019,04000US09,Connecticut,874,173.0722393,1.142964943,"Westport, CT",16000US0983570,westport-ct,114663,81028,931,-6.12244898,98245,16.71128302,6.926063872
"Arts, Design, Entertainment, Sports, & Media Occupations",2019,27,Westport_NY,2019,04000US09,Connecticut,619,145.4544602,2.425690869,"Westport, CT",16000US0983570,westport-ct,229167,124661,439,41.0022779,223921,2.342790538,4.905301529
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2019,29,Westport_NY,2019,04000US09,Connecticut,647,141.3541651,1.256985172,"Westport, CT",16000US0983570,westport-ct,333022,34021,663,-2.413273002,328084,1.505102352,5.127189159
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2019,29,Westport_NY,2019,04000US09,Connecticut,52,51.42956348,0.211620233,"Westport, CT",16000US0983570,westport-ct,42833,40880,68,-23.52941176,40313,6.251085258,0.412077027
Healthcare Support Occupations,2019,31,Westport_NY,2019,04000US09,Connecticut,77,50.53711507,0.186791645,"Westport, CT",16000US0983570,westport-ct,31116,6240,58,32.75862069,31250,-0.4288,0.610190982
Food Preparation & Serving Related Occupations,2019,35,Westport_NY,2019,04000US09,Connecticut,274,111.5212984,0.378854789,"Westport, CT",16000US0983570,westport-ct,18597,18767,256,7.03125,36292,-48.75730188,2.171328948
Building & Grounds Cleaning & Maintenance Occupations,2019,37,Westport_NY,2019,04000US09,Connecticut,95,65.19202405,0.197511988,"Westport, CT",16000US0983570,westport-ct,41528,40410,118,-19.49152542,83275,-50.13149204,0.75283303
Personal Care & Service Occupations,2019,39,Westport_NY,2019,04000US09,Connecticut,494,157.492857,1.392142283,"Westport, CT",16000US0983570,westport-ct,23042,12618,548,-9.854014599,25628,-10.09052599,3.914731754
Protective Service Occupations,2019,33,Westport_NY,2019,04000US09,Connecticut,69,49.64876635,0.466042928,"Westport, CT",16000US0983570,westport-ct,14063,213236,56,23.21428571,75682,-81.4183029,0.546794516
Sales & Related Occupations,2019,41,Westport_NY,2019,04000US09,Connecticut,1728,265.8759109,1.340520495,"Westport, CT",16000US0983570,westport-ct,215973,123788,1860,-7.096774194,202285,6.76669056,13.69363658
Office & Administrative Support Occupations,2019,43,Westport_NY,2019,04000US09,Connecticut,807,170.9502852,0.560269607,"Westport, CT",16000US0983570,westport-ct,182882,66118,806,0.124069479,178374,2.527274154,6.395118472
Construction & Extraction Occupations,2019,47,Westport_NY,2019,04000US09,Connecticut,172,78.4346862,0.267431219,"Westport, CT",16000US0983570,westport-ct,53512,15001,190,-9.473684211,48333,10.71524631,1.363024011
"Installation, Maintenance, & Repair Occupations",2019,49,Westport_NY,2019,04000US09,Connecticut,46,42.72001873,0.118213404,"Westport, CT",16000US0983570,westport-ct,32833,49854,38,21.05263158,30714,6.899133945,0.364529677
Production Occupations,2019,51,Westport_NY,2019,04000US09,Connecticut,69,50.99019514,0.095541205,"Westport, CT",16000US0983570,westport-ct,70673,26423,111,-37.83783784,54063,30.72341527,0.546794516
Transportation & Material Moving Occupations,2019,53,Westport_NY,2019,04000US09,Connecticut,258,92.17917335,0.538391369,"Westport, CT",16000US0983570,westport-ct,38266,9130,225,14.66666667,36705,4.25282659,2.044536017
